Book,Genres
Far From the Madding Crowd,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', '19th Century', 'Literature', 'Victorian']"
"Neuromancer (Sprawl, #1)","['Science Fiction', 'Fiction', 'Cyberpunk', 'Classics', 'Science Fiction Fantasy', 'Dystopia', 'Fantasy']"
Starship Troopers,"['Science Fiction', 'Fiction', 'Classics', 'Military Fiction', 'War', 'Science Fiction Fantasy', 'Space Opera']"
"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation","['Nonfiction', 'Writing', 'Language', 'Reference', 'Humor', 'Linguistics', 'Education']"
"Flowers in the Attic (Dollanganger, #1)","['Fiction', 'Horror', 'Young Adult', 'Classics', 'Mystery', 'Gothic', 'Romance']"
Infinite Jest,"['Fiction', 'Classics', 'Literature', 'Novels', 'Contemporary', 'Humor', 'Literary Fiction']"
The Age of Innocence,"['Classics', 'Fiction', 'Historical Fiction', 'Romance', 'Literature', 'American', 'Novels']"
Vanity Fair,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', '19th Century', 'Romance', 'British Literature']"
Song of Solomon,"['Fiction', 'Classics', 'Historical Fiction', 'African American', 'Magical Realism', 'Novels', 'Literature']"
Ethan Frome,"['Classics', 'Fiction', 'Literature', 'Romance', 'School', 'Historical Fiction', 'American']"
"Skagboys (Mark Renton, #1)","['Fiction', 'Contemporary', 'Thriller', 'Mystery', 'Scotland', 'Crime', 'Dark']"
"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)","['Graphic Novels', 'Comics', 'History', 'Nonfiction', 'Memoir', 'Holocaust', 'Biography']"
The Story of Ferdinand,"['Picture Books', 'Childrens', 'Classics', 'Fiction', 'Animals', 'Spain', 'Kids']"
Lunar Park,"['Fiction', 'Horror', 'Thriller', 'Mystery', 'Contemporary', 'Novels', 'American']"
The Invention of Hugo Cabret,"['Historical Fiction', 'Fiction', 'Young Adult', 'Middle Grade', 'Childrens', 'Graphic Novels', 'Fantasy']"
"All Creatures Great and Small (All Creatures Great and Small, #1-2)","['Nonfiction', 'Animals', 'Memoir', 'Classics', 'Biography', 'Humor', 'Autobiography']"
Utopia,"['Classics', 'Philosophy', 'Fiction', 'Politics', 'Literature', 'Dystopia', 'School']"
The Elegance of the Hedgehog,"['Fiction', 'France', 'Contemporary', 'Philosophy', 'Literary Fiction', 'Book Club', 'Novels']"
"Clockwork Angel (The Infernal Devices, #1)","['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Steampunk', 'Historical Fiction', 'Fiction']"
The Shipping News,"['Fiction', 'Contemporary', 'Canada', 'Literary Fiction', 'Literature', 'Novels', 'Classics']"
Walks Away Woman,"['Survival', 'Adventure', 'Fiction', 'Novels', 'Thriller', 'Literature', 'Womens']"
"The Big Sleep (Philip Marlowe, #1)","['Mystery', 'Fiction', 'Classics', 'Crime', 'Noir', 'Detective', 'Mystery Thriller']"
'Salem's Lot,"['Horror', 'Fiction', 'Vampires', 'Fantasy', 'Thriller', 'Paranormal', 'Supernatural']"
The Waste Land,"['Poetry', 'Classics', 'Fiction', 'Literature', '20th Century', 'School', 'American']"
"Vampire Academy (Vampire Academy, #1)","['Young Adult', 'Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Urban Fantasy', 'Fiction']"
"Brisingr (The Inheritance Cycle, #3)","['Fantasy', 'Young Adult', 'Fiction', 'Dragons', 'Adventure', 'Magic', 'High Fantasy']"
"P.S. I Love You (P.S. I Love You, #1)","['Romance', 'Chick Lit', 'Fiction', 'Contemporary', 'Adult', 'Contemporary Romance', 'Love']"
Of Human Bondage,"['Classics', 'Fiction', 'Literature', 'Novels', 'British Literature', 'Romance', 'Literary Fiction']"
The Sorrows of Young Werther,"['Classics', 'Fiction', 'German Literature', 'Literature', 'Romance', 'Germany', 'Novels']"
"The Gunslinger (The Dark Tower, #1)","['Fantasy', 'Fiction', 'Horror', 'Science Fiction', 'Westerns', 'Audiobook', 'Adventure']"
Contact,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Space', 'Novels', 'Fantasy']"
Medea,"['Classics', 'Plays', 'Drama', 'Mythology', 'Fiction', 'Theatre', 'School']"
"City of Ashes (The Mortal Instruments, #2)","['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Fiction', 'Vampires']"
Complete Works of Arthur Conan Doyle,"['Classics', 'Fiction', 'Mystery', 'Literature', 'Detective', 'Crime', 'Adventure']"
"The Last Olympian (Percy Jackson and the Olympians, #5)","['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']"
Dubliners,"['Classics', 'Fiction', 'Short Stories', 'Ireland', 'Literature', 'Irish Literature', '20th Century']"
"Insurgent (Divergent, #2)","['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']"
A Passage to India,"['Classics', 'Fiction', 'India', 'Historical Fiction', 'Literature', 'Novels', 'British Literature']"
"Let's Talk: ...about Making Your Life Exciting, Easier, and Exceptional","['Self Help', 'Nonfiction', 'Personal Development', 'Education', 'Contemporary', 'Inspirational', 'Book Club']"
Under the Banner of Heaven: A Story of Violent Faith,"['Nonfiction', 'Religion', 'History', 'True Crime', 'Crime', 'Audiobook', 'Cults']"
Black Like Me,"['Nonfiction', 'History', 'Memoir', 'Classics', 'Biography', 'Race', 'African American']"
"Matching Configurations (Quantum Roots, #3)","['Novels', 'Fiction', 'Science Fiction', 'Young Adult', 'Space Opera', 'Space', 'Teen']"
As I Lay Dying,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'School', 'Southern Gothic']"
"Uglies (Uglies, #1)","['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Romance', 'Teen']"
"If I Stay (If I Stay, #1)","['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Teen', 'Music']"
The Heart of Aleppo: A Story of the Syrian Civil War,"['Historical Fiction', 'Young Adult', 'Historical', 'Fiction', 'Contemporary', 'War', 'Inspirational']"
Misery,"['Horror', 'Fiction', 'Thriller', 'Suspense', 'Mystery', 'Mystery Thriller', 'Adult']"
Collapse: How Societies Choose to Fail or Succeed,"['History', 'Nonfiction', 'Science', 'Anthropology', 'Sociology', 'Politics', 'Environment']"
"Pride and Prejudice, Mansfield Park, Persuasion","['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'British Literature', 'Novels']"
A Heartbreaking Work of Staggering Genius,"['Fiction', 'Contemporary', 'Literature', 'Humor', 'Biography Memoir', 'Novels', 'American']"
"Fifty Shades of Grey (Fifty Shades, #1)","['Romance', 'Fiction', 'Erotica', 'Adult', 'BDSM', 'Contemporary', 'Contemporary Romance']"
Ficciones,"['Fiction', 'Short Stories', 'Classics', 'Magical Realism', 'Fantasy', 'Literature', 'Spanish Literature']"
"Ella Enchanted (Ella Enchanted, #1)","['Fantasy', 'Young Adult', 'Fiction', 'Romance', 'Middle Grade', 'Childrens', 'Fairy Tales']"
The Education of Little Tree,"['Fiction', 'Historical Fiction', 'Young Adult', 'Classics', 'Childrens', 'Coming Of Age', 'American']"
"Love is the Answer, God is the Cure: A True Story of Abuse, Betrayal and Unconditional Love","['Contemporary', 'Nonfiction', 'Adult', 'True Story', 'Abuse', 'Drama', 'Book Club']"
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,"['Nonfiction', 'Biography', 'Memoir', 'Feminism', 'Autobiography', 'Audiobook', 'Biography Memoir']"
The Fall,"['Fiction', 'Philosophy', 'Classics', 'France', 'Literature', 'French Literature', 'Novels']"
"Oryx and Crake (MaddAddam, #1)","['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Fantasy', 'Canada', 'Speculative Fiction']"
"The Color of Magic (Discworld, #1; Rincewind, #1)","['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Science Fiction', 'Magic']"
If on a Winter's Night a Traveler,"['Fiction', 'Classics', 'Italian Literature', 'Magical Realism', 'Literature', 'Italy', 'Novels']"
"Blood Meridian, or, the Evening Redness in the West","['Fiction', 'Historical Fiction', 'Westerns', 'Classics', 'Literature', 'Novels', 'Horror']"
"The Selection (The Selection, #1)","['Young Adult', 'Romance', 'Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Audiobook']"
"Small Gods (Discworld, #13)","['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Religion', 'Audiobook']"
Seabiscuit: An American Legend,"['Nonfiction', 'History', 'Biography', 'Sports', 'Animals', 'Horses', 'Historical']"
Little Women / Little Men / Jo's Boys,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', '19th Century', 'American', 'Childrens']"
"Girl, Interrupted","['Nonfiction', 'Memoir', 'Psychology', 'Mental Health', 'Mental Illness', 'Biography', 'Classics']"
Le Morte d'Arthur: King Arthur and the Legends of the Round Table,"['Classics', 'Fantasy', 'Fiction', 'Arthurian', 'Mythology', 'Historical Fiction', 'Medieval']"
On Death and Dying,"['Psychology', 'Nonfiction', 'Death', 'Philosophy', 'Self Help', 'Medicine', 'Spirituality']"
The Hobbit,"['Fantasy', 'Graphic Novels', 'Classics', 'Fiction', 'Comics', 'Adventure', 'Young Adult']"
All the President's Men,"['History', 'Politics', 'Nonfiction', 'Journalism', 'American History', 'True Crime', 'Classics']"
"Left Behind (Left Behind, #1)","['Fiction', 'Christian', 'Christian Fiction', 'Religion', 'Fantasy', 'Thriller', 'Christianity']"
Travels with Charley: In Search of America,"['Nonfiction', 'Travel', 'Classics', 'Memoir', 'Biography', 'Literature', 'Biography Memoir']"
"Wayside School Is Falling Down (Wayside School, #2)","['Childrens', 'Fiction', 'Humor', 'Middle Grade', 'Young Adult', 'Fantasy', 'Juvenile']"
A Town Like Alice,"['Fiction', 'Historical Fiction', 'Classics', 'Australia', 'Romance', 'War', 'Historical']"
"The Hate U Give (The Hate U Give, #1)","['Young Adult', 'Fiction', 'Contemporary', 'Audiobook', 'Realistic Fiction', 'Race', 'Social Justice']"
The Demon-Haunted World: Science as a Candle in the Dark,"['Science', 'Nonfiction', 'Philosophy', 'Religion', 'History', 'Skepticism', 'Atheism']"
"The Bad Beginning (A Series of Unfortunate Events, #1)","['Fiction', 'Young Adult', 'Childrens', 'Fantasy', 'Middle Grade', 'Mystery', 'Adventure']"
Paradox Effect: Time Travel and Purified DNA Merge to Halt the Collapse of Human Existence,"['Fiction', 'Novels', 'Science Fiction', 'Young Adult', 'Space', 'Contemporary', 'Science Fiction Fantasy']"
The Joy of Cooking,"['Cookbooks', 'Cooking', 'Food', 'Nonfiction', 'Reference', 'Classics', 'Culinary']"
The Nightingale,"['Historical Fiction', 'Fiction', 'Historical', 'World War II', 'War', 'Audiobook', 'Adult']"
A Million Little Pieces,"['Fiction', 'Contemporary', 'Psychology', 'Biography Memoir', 'Mental Health', 'Adult', 'Book Club']"
The Pearl,"['Classics', 'Fiction', 'Literature', 'School', 'Historical Fiction', 'American', 'Novels']"
The Shock Doctrine: The Rise of Disaster Capitalism,"['Nonfiction', 'Politics', 'Economics', 'History', 'Sociology', 'Business', 'Philosophy']"
Soul Cure: How to Heal Your Pain and Discover Your Purpose,"['Self Help', 'Psychology', 'Personal Development', 'Nonfiction', 'Productivity', 'Philosophy', 'Education']"
And the Mountains Echoed,"['Fiction', 'Historical Fiction', 'Contemporary', 'Novels', 'Literary Fiction', 'Adult', 'Historical']"
Down and Out in Paris and London,"['Nonfiction', 'Classics', 'Memoir', 'Biography', 'Travel', 'History', 'Literature']"
Momo,"['Fantasy', 'Fiction', 'Classics', 'Childrens', 'German Literature', 'Young Adult', 'Middle Grade']"
High Fidelity,"['Fiction', 'Music', 'Contemporary', 'Humor', 'Romance', 'Novels', 'British Literature']"
"Quantum Roots (Quantum Roots, #1)","['Fiction', 'Science Fiction', 'Contemporary', 'Drama', 'Thriller', 'Novels', 'Young Adult']"
The Bhagavad Gita,"['Religion', 'Philosophy', 'Classics', 'Spirituality', 'Poetry', 'Nonfiction', 'India']"
The Tin Drum,"['Fiction', 'Classics', 'German Literature', 'Historical Fiction', 'Literature', 'Germany', 'Magical Realism']"
"City of Glass (The Mortal Instruments, #3)","['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Fiction', 'Vampires']"
"The Last Unicorn (The Last Unicorn, #1)","['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'Science Fiction Fantasy']"
The Dispossessed: An Ambiguous Utopia,"['Science Fiction', 'Fiction', 'Fantasy', 'Dystopia', 'Classics', 'Science Fiction Fantasy', 'Speculative Fiction']"
Eleanor & Park,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Audiobook', 'Teen']"
The Man in the High Castle,"['Science Fiction', 'Fiction', 'Classics', 'Dystopia', 'Alternate History', 'Historical Fiction', 'Fantasy']"
"Animal, Vegetable, Miracle: A Year of Food Life","['Nonfiction', 'Food', 'Memoir', 'Gardening', 'Health', 'Environment', 'Nature']"
We,"['Fiction', 'Science Fiction', 'Classics', 'Dystopia', 'Russia', 'Russian Literature', 'Literature']"
Secrets of the Realm,"['Historical Fiction', 'Young Adult', 'Middle Grade', 'Historical', 'Coming Of Age', 'Fiction', 'Fantasy']"
Zorba the Greek,"['Fiction', 'Classics', 'Philosophy', 'Greece', 'Novels', 'Literature', 'Historical Fiction']"
Stardust,"['Fantasy', 'Fiction', 'Romance', 'Young Adult', 'Adventure', 'Audiobook', 'Magic']"
Les Fleurs du Mal,"['Poetry', 'Classics', 'France', 'French Literature', 'Fiction', 'Literature', '19th Century']"
Papillon,"['Nonfiction', 'Biography', 'Classics', 'Adventure', 'Memoir', 'Autobiography', 'France']"
I Am the Messenger,"['Young Adult', 'Fiction', 'Mystery', 'Contemporary', 'Realistic Fiction', 'Australia', 'Audiobook']"
Brideshead Revisited,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'British Literature', 'Novels', 'LGBT']"
"Rich Dad, Poor Dad","['Business', 'Finance', 'Nonfiction', 'Self Help', 'Money', 'Personal Finance', 'Personal Development']"
A New Earth: Awakening to Your Life's Purpose,"['Spirituality', 'Nonfiction', 'Self Help', 'Philosophy', 'Psychology', 'Personal Development', 'Inspirational']"
The Virgin Suicides,"['Fiction', 'Classics', 'Contemporary', 'Young Adult', 'Literary Fiction', 'Coming Of Age', 'Novels']"
"I, Claudius (Claudius, #1)","['Historical Fiction', 'Fiction', 'Classics', 'Historical', 'Literature', 'Novels', 'Italy']"
The Night Before Christmas,"['Christmas', 'Childrens', 'Picture Books', 'Classics', 'Poetry', 'Fiction', 'Holiday']"
Geek Love,"['Fiction', 'Horror', 'Fantasy', 'Contemporary', 'Novels', 'Literary Fiction', 'Literature']"
The Magus,"['Fiction', 'Classics', 'Fantasy', 'Mystery', 'Literature', 'Novels', 'Literary Fiction']"
Nineteen Minutes,"['Fiction', 'Contemporary', 'Chick Lit', 'Adult', 'Drama', 'Adult Fiction', 'Young Adult']"
A Man Called Ove,"['Fiction', 'Contemporary', 'Audiobook', 'Humor', 'Adult', 'Book Club', 'Adult Fiction']"
"The Hunt for Red October (Jack Ryan, #3)","['Fiction', 'Thriller', 'Military Fiction', 'Suspense', 'Mystery', 'Espionage', 'Adventure']"
I Am Legend and Other Stories,"['Horror', 'Fiction', 'Science Fiction', 'Vampires', 'Short Stories', 'Fantasy', 'Post Apocalyptic']"
Cutting for Stone,"['Fiction', 'Historical Fiction', 'Africa', 'Book Club', 'Medicine', 'Ethiopia', 'Medical']"
Steve Jobs,"['Biography', 'Nonfiction', 'Business', 'Technology', 'History', 'Biography Memoir', 'Audiobook']"
Jonathan Strange & Mr Norrell,"['Fantasy', 'Fiction', 'Historical Fiction', 'Historical', 'Magic', 'Science Fiction Fantasy', 'Alternate History']"
Columbine,"['Nonfiction', 'True Crime', 'History', 'Crime', 'Audiobook', 'Psychology', 'Journalism']"
Dreams from My Father: A Story of Race and Inheritance,"['Nonfiction', 'Biography', 'Memoir', 'Politics', 'Autobiography', 'Audiobook', 'Biography Memoir']"
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,"['Nonfiction', 'Psychology', 'Science', 'Medicine', 'Neuroscience', 'Medical', 'Short Stories']"
For the Love of Armin,"['Fiction', 'Adventure', 'Historical Fiction', 'New Adult', 'Young Adult', 'Historical', 'Adult']"
"The Lost Symbol (Robert Langdon, #3)","['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Suspense', 'Adventure', 'Historical Fiction']"
Revolutionary Road,"['Fiction', 'Classics', 'Historical Fiction', 'Novels', 'American', 'Literature', 'Literary Fiction']"
"Book of Mormon, Doctrine and Covenants, Pearl of Great Price","['Religion', 'Nonfiction', 'Lds', 'Church', 'Spirituality', 'History', 'Historical']"
Coraline,"['Fantasy', 'Horror', 'Fiction', 'Young Adult', 'Middle Grade', 'Childrens', 'Audiobook']"
The House of Mirth,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'American', 'Novels', 'New York']"
Black Hawk Down: A Story of Modern War,"['History', 'Nonfiction', 'Military Fiction', 'War', 'Military History', 'Africa', 'Historical']"
"The Way of Kings (The Stormlight Archive, #1)","['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Adult', 'Science Fiction Fantasy']"
The World Without Us,"['Nonfiction', 'Science', 'Environment', 'Nature', 'History', 'Ecology', 'Post Apocalyptic']"
The Ocean at the End of the Lane,"['Fantasy', 'Fiction', 'Magical Realism', 'Horror', 'Audiobook', 'Young Adult', 'Adult']"
The Hours,"['Fiction', 'Historical Fiction', 'Contemporary', 'LGBT', 'Literary Fiction', 'Novels', 'Classics']"
The Vagina Monologues,"['Feminism', 'Nonfiction', 'Plays', 'Drama', 'Womens', 'Theatre', 'Sexuality']"
"The Alienist (Dr. Laszlo Kreizler, #1)","['Historical Fiction', 'Mystery', 'Fiction', 'Thriller', 'Crime', 'Historical', 'Mystery Thriller']"
Eating Animals,"['Nonfiction', 'Food', 'Philosophy', 'Animals', 'Health', 'Vegan', 'Environment']"
"A Canticle for Leibowitz (St. Leibowitz, #1)","['Science Fiction', 'Fiction', 'Post Apocalyptic', 'Classics', 'Dystopia', 'Fantasy', 'Science Fiction Fantasy']"
Long Walk to Freedom,"['Biography', 'Nonfiction', 'History', 'Africa', 'Autobiography', 'Memoir', 'Politics']"
Money Game: A Wealth Manifestation Guide. Level Up Your Mindset Step-By-Step & Create An Abundant Life,"['Nonfiction', 'Inspirational', 'How To', 'Education', 'Book Club']"
My Name Is Asher Lev,"['Fiction', 'Classics', 'Historical Fiction', 'Jewish', 'Religion', 'Judaism', 'Literature']"
"Love Story (Love Story, #1)","['Romance', 'Fiction', 'Classics', 'Contemporary', 'Chick Lit', 'Love', 'Novels']"
Destiny of the Vampire,"['Vampires', 'Suspense', 'Paranormal', 'Action']"
"Alas, Babylon","['Fiction', 'Science Fiction', 'Post Apocalyptic', 'Classics', 'Dystopia', 'Apocalyptic', 'Survival']"
Exotic Neurotic,"['Poetry', 'Contemporary', 'Fiction']"
"The Time Trilogy (Time Quintet, #1-3)","['Fantasy', 'Fiction', 'Young Adult', 'Classics', 'Science Fiction', 'Childrens', 'Middle Grade']"
The Death of Ivan Ilych,"['Classics', 'Fiction', 'Russia', 'Russian Literature', 'Literature', 'Philosophy', 'Short Stories']"
The Tale of Despereaux,"['Fantasy', 'Fiction', 'Childrens', 'Middle Grade', 'Young Adult', 'Animals', 'Adventure']"
"The Final Empire (Mistborn, #1)","['Fantasy', 'Fiction', 'High Fantasy', 'Epic Fantasy', 'Adult', 'Magic', 'Audiobook']"
"Hyperion (Hyperion Cantos, #1)","['Science Fiction', 'Fiction', 'Fantasy', 'Space Opera', 'Science Fiction Fantasy', 'Audiobook', 'Time Travel']"
Democracy in America,"['History', 'Politics', 'Nonfiction', 'Philosophy', 'Classics', 'American History', 'Political Science']"
The Sacred Well Murders,"['Fiction', 'Contemporary', 'Novels', 'Mystery', 'Drama', 'Mystery Thriller', 'Epic']"
"Unwind (Unwind, #1)","['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Horror', 'Teen']"
Slow Brewing Tea (Slow Brewing Tea Series),"['Christian', 'Fiction', 'Inspirational', 'Spirituality', 'Christianity', 'Religion', 'Drama']"
"Go, Dog. Go!","['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Animals', 'Dogs', 'Kids']"
The Color of Water: A Black Man's Tribute to His White Mother,"['Nonfiction', 'Memoir', 'Biography', 'Race', 'African American', 'Biography Memoir', 'School']"
Snow Crash,"['Science Fiction', 'Fiction', 'Cyberpunk', 'Fantasy', 'Science Fiction Fantasy', 'Dystopia', 'Novels']"
"1Q84 (1Q84, #1-3)","['Fiction', 'Fantasy', 'Magical Realism', 'Japan', 'Science Fiction', 'Japanese Literature', 'Contemporary']"
John Adams,"['History', 'Biography', 'Nonfiction', 'American History', 'Presidents', 'Politics', 'Historical']"
Angelica And Francesca,"['Fiction', 'Plays', 'Contemporary', 'Drama', 'Historical Fiction', 'Suspense', 'Thriller']"
Bleak House,"['Classics', 'Fiction', 'Literature', '19th Century', 'Victorian', 'Historical Fiction', 'British Literature']"
"Sabriel (Abhorsen,  #1)","['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'High Fantasy', 'Young Adult Fantasy', 'Adventure']"
Lost in Yaba: Down and Out in Laos,"['True Crime', 'Asia', 'Nonfiction', 'Crime', 'Travel', 'Memoir', 'Biography']"
Childhood's End,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Aliens', 'Dystopia', 'Fantasy']"
Cold Sassy Tree,"['Fiction', 'Historical Fiction', 'Classics', 'Southern', 'Historical', 'Adult Fiction', 'Coming Of Age']"
The History of Love,"['Fiction', 'Historical Fiction', 'Romance', 'Contemporary', 'Literary Fiction', 'Novels', 'Book Club']"
"The Titan's Curse (Percy Jackson and the Olympians, #3)","['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']"
"Moloka'i (Moloka'i, #1)","['Historical Fiction', 'Fiction', 'Historical', 'Book Club', 'Adult', 'Adult Fiction', 'Audiobook']"
"A Feast for Crows (A Song of Ice and Fire, #4)","['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Adult', 'Adventure']"
The Red Badge of Courage,"['Classics', 'Fiction', 'Historical Fiction', 'War', 'Literature', 'Civil War', 'Historical']"
"The Sea of Monsters (Percy Jackson and the Olympians, #2)","['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']"
"The Bourne Identity (Jason Bourne, #1)","['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Espionage', 'Action', 'Adventure']"
"Crossroads and the Himalayan Crystals (Crossroads, #1)","['Fantasy', 'Fiction', 'Contemporary', 'Epic', 'Young Adult', 'Drama', 'Young Adult Fantasy']"
Light in August,"['Fiction', 'Classics', 'Literature', 'Novels', 'American', 'Southern', 'Southern Gothic']"
"Graceling (Graceling Realm, #1)","['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Young Adult Fantasy', 'Adventure', 'Magic']"
Battle Royale,"['Fiction', 'Horror', 'Dystopia', 'Science Fiction', 'Thriller', 'Young Adult', 'Japan']"
Prodigal Summer,"['Fiction', 'Nature', 'Contemporary', 'Literary Fiction', 'Novels', 'Adult', 'Adult Fiction']"
Start with Why: How Great Leaders Inspire Everyone to Take Action,"['Business', 'Leadership', 'Nonfiction', 'Self Help', 'Personal Development', 'Management', 'Psychology']"
"The Borrowers (The Borrowers, #1)","['Fantasy', 'Childrens', 'Classics', 'Fiction', 'Middle Grade', 'Young Adult', 'Adventure']"
Adhaata Asao's Liege,['Fantasy']
"Theory of People: Understanding Behaviors, Business, Economics, Feelings, and the Mind","['Psychology', 'Business', 'Nonfiction', 'Economics', 'Science', 'Sociology', 'Self Help']"
Crossing the Seas: A Diary of My Thoughts,"['Nonfiction', 'Contemporary']"
Chronicle of a Death Foretold,"['Fiction', 'Classics', 'Magical Realism', 'School', 'Literature', 'Spanish Literature', 'Novels']"
"Predator & Prey (The Devenshire Chronicles, #2)",['Fantasy']
Divine Secrets of the Ya-Ya Sisterhood,"['Fiction', 'Chick Lit', 'Contemporary', 'Adult Fiction', 'Southern', 'Adult', 'Historical Fiction']"
Swann’s Way,"['Classics', 'Fiction', 'France', 'Literature', 'French Literature', 'Novels', '20th Century']"
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"['Nonfiction', 'Christian', 'Religion', 'Inspirational', 'Memoir', 'Biography', 'Spirituality']"
"The Stones of Andarus (The Devenshire Chronicles, #1)","['Fantasy', 'Epic Fantasy']"
Flatland: A Romance of Many Dimensions,"['Fiction', 'Science Fiction', 'Classics', 'Mathematics', 'Fantasy', 'Philosophy', 'Literature']"
"The Vampire Lestat (The Vampire Chronicles, #2)","['Horror', 'Fantasy', 'Vampires', 'Fiction', 'Paranormal', 'Supernatural', 'Gothic']"
Living in Harmony with the Real World Vol 3: Coping with Loss and Grief,"['How To', 'Book Club', 'Education', 'Novels', 'Contemporary', 'Inspirational', 'Drama']"
The Tempest,"['Classics', 'Plays', 'Drama', 'Fiction', 'Fantasy', 'School', 'Theatre']"
"The Sparrow (The Sparrow, #1)","['Science Fiction', 'Fiction', 'Fantasy', 'Religion', 'Science Fiction Fantasy', 'Speculative Fiction', 'Aliens']"
What Is the What,"['Fiction', 'Africa', 'Historical Fiction', 'War', 'Sudan', 'Contemporary', 'Novels']"
Ana Rocha: Shadows of Justice,"['Thriller', 'Crime', 'Action', 'Police', 'Fiction', 'Mystery']"
"The Secret (The Secret, #1)","['Self Help', 'Nonfiction', 'Spirituality', 'Psychology', 'Philosophy', 'Personal Development', 'Inspirational']"
North and South,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Historical', '19th Century', 'Victorian']"
A Sand County Almanac and Sketches Here and There,"['Nonfiction', 'Nature', 'Science', 'Environment', 'Classics', 'Philosophy', 'Essays']"
The Pandarus File,"['Fiction', 'Thriller', 'Mystery', 'Adult', 'Drama', 'Adventure', 'Suspense']"
Nine Stories,"['Short Stories', 'Fiction', 'Classics', 'Literature', 'American', '20th Century', 'Literary Fiction']"
The Glass Bead Game,"['Fiction', 'Classics', 'Philosophy', 'Literature', 'German Literature', 'Novels', 'Science Fiction']"
Honor and Polygamy,"['Fiction', 'Politics', 'Polygamy', 'Contemporary']"
The Blind Assassin,"['Fiction', 'Historical Fiction', 'Mystery', 'Canada', 'Literary Fiction', 'Classics', 'Contemporary']"
Educated,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Biography Memoir', 'Autobiography', 'Education']"
Down and Rising,"['Post Apocalyptic', 'Literary Fiction', 'Dystopia', 'Fiction', 'Science Fiction']"
"Thinking, Fast and Slow","['Nonfiction', 'Psychology', 'Science', 'Self Help', 'Business', 'Economics', 'Personal Development']"
Table 21,"['Fiction', 'Mystery', 'Crime', 'Suspense', 'Mystery Thriller', 'New York', 'Thriller']"
The Bone Church,"['Historical Fiction', 'Fiction', 'Thriller', 'Suspense', 'Espionage', 'Historical', 'Mystery']"
Sometimes a Great Notion,"['Fiction', 'Classics', 'Literature', 'Novels', 'Literary Fiction', 'American', 'Historical Fiction']"
Where the Crawdads Sing,"['Fiction', 'Historical Fiction', 'Mystery', 'Audiobook', 'Romance', 'Adult', 'Contemporary']"
"More Than Love, A Husband's Tale","['Nonfiction', 'Book Club', 'Inspirational', 'Education', 'Memoir', 'How To']"
